"""Date"""	"""Open"""	"""High"""	"""Low"""	"""Close"""	"""BTCVol"""	"""CurVol"""	"""WeightedP"""
12/02/2018 15:00	8546.1	8682.68	8545.74	8655.79	393.88	3389295.33	8604.84
12/02/2018 16:00	8666.5	8740.54	8628.49	8668	465.24	4045983.99	8696.63
12/02/2018 17:00	8677.34	8772.91	8605.69	8769.99	378.9	3293726.16	8692.96
12/02/2018 18:00	8760.9	8769.9	8589.26	8655.98	348.04	3007969.65	8642.68
12/02/2018 19:00	8676.09	8800.08	8621.97	8782.77	428.77	3742877.89	8729.27
12/02/2018 20:00	8782.77	8924.33	8750	8837.97	1098.81	9742005.41	8865.93
12/02/2018 21:00	8863.41	8883.37	8740.54	8840	588.77	5182999.49	8803.08
12/02/2018 22:00	8839	8893.5	8713.21	8889.99	500.97	4407920.75	8798.69
12/02/2018 23:00	8889.99	8995	8802.89	8899	1040.2	9267009.01	8908.91
13/02/2018 00:00	8891.2	8951.89	8820	8922.12	369.47	3283233.91	8886.22
13/02/2018 01:00	8936.15	8936.15	8726	8760	594.94	5238660.08	8805.3
13/02/2018 02:00	8759.9	8760	8657.83	8725.49	353.28	3073579.59	8700.04
13/02/2018 03:00	8725.22	8782	8680	8754	217.51	1899121.58	8731.27
13/02/2018 04:00	8771.1	8781.96	8550	8589.1	467.49	4039208.66	8640.19
13/02/2018 05:00	8589.99	8636	8565.45	8608	228.48	1965921.91	8604.22
13/02/2018 06:00	8608	8731.01	8571.15	8713	292.39	2525457.37	8637.25
13/02/2018 07:00	8711.1	8765	8615.25	8615.25	903.5	7848301.27	8686.52
13/02/2018 08:00	8615.25	8637.54	8409.01	8531.99	1388.51	11818457.64	8511.59
13/02/2018 09:00	8533.99	8541.36	8381.82	8454.85	835.02	7045061.41	8436.98
13/02/2018 10:00	8439.83	8537.31	8360.13	8517.61	606.22	5105191.98	8421.33
13/02/2018 11:00	8500	8567.68	8414	8499.31	755.4	6407323.97	8481.98
13/02/2018 12:00	8519.96	8604.72	8439.75	8586.72	414.39	3537471.65	8536.51
13/02/2018 13:00	8586.72	8653.68	8530.76	8611.77	505.57	4337750.72	8579.95
13/02/2018 14:00	8600.01	8665	8590	8593.02	362.65	3128733.31	8627.33
13/02/2018 15:00	8592.24	8607.46	8461.38	8503.18	579.49	4936990.72	8519.58
13/02/2018 16:00	8503.13	8574.36	8482.19	8546.79	168.27	1435041.83	8528.09
13/02/2018 17:00	8553.99	8645.98	8537.55	8626.88	278.97	2394420.55	8583.16
13/02/2018 18:00	8629.41	8673.59	8570.1	8570.1	317.42	2741717.58	8637.43
13/02/2018 19:00	8570.24	8626.94	8533.29	8621.99	182.47	1565444.75	8579.21
13/02/2018 20:00	8626.99	8740.54	8606.62	8710.92	543.1	4721288.21	8693.29
13/02/2018 21:00	8702.25	8710.15	8541.58	8545.99	384.36	3312520.93	8618.32
13/02/2018 22:00	8551.94	8582.48	8461.38	8543.99	356.51	3037634.21	8520.52
13/02/2018 23:00	8549.99	8559.38	8467	8522.99	269.09	2291237.81	8514.86
14/02/2018 00:00	8504.57	8649.99	8504.57	8608.37	285.6	2453472.75	8590.64
14/02/2018 01:00	8607.88	8680.1	8576.82	8652.7	308.41	2663431.44	8636
14/02/2018 02:00	8652.99	8737.27	8647.64	8671.76	491.53	4275107.26	8697.52
14/02/2018 03:00	8676.88	8750	8642.08	8703.21	493.55	4296775.2	8705.86
14/02/2018 04:00	8702.01	8849.03	8702.01	8811.15	822.88	7250224.36	8810.84
14/02/2018 05:00	8809.42	8870.75	8729.14	8837.92	406.02	3572426.52	8798.62
14/02/2018 06:00	8840.98	8872.47	8787.91	8792.87	528.25	4670330.06	8841.09
14/02/2018 07:00	8792.87	8915	8785.02	8885.57	924.59	8204168.11	8873.28
14/02/2018 08:00	8883.26	8901.98	8825	8877.74	460.21	4077240.66	8859.6
14/02/2018 09:00	8877.74	8890	8773.11	8785	433.99	3822128.49	8807.02
14/02/2018 10:00	8785.85	8850	8757.04	8773.99	250.84	2211357.41	8815.88
14/02/2018 11:00	8773.98	8975	8765.49	8965.21	925.88	8207491.43	8864.53
14/02/2018 12:00	8965.41	9280.33	8946.78	9179.89	2694.13	24628037.22	9141.35
14/02/2018 13:00	9157.17	9311.18	9145	9235.99	1238.94	11458742.9	9248.86
14/02/2018 14:00	9233.98	9251.09	9160	9180	1105.26	10180292.7	9210.78
14/02/2018 15:00	9179.98	9349.99	9179.98	9342.99	617.56	5720931.75	9263.69
14/02/2018 16:00	9342.99	9350.02	9236.48	9271.83	821.41	7637761.47	9298.32
14/02/2018 17:00	9285.98	9329.3	9246.78	9319.98	750.92	6974753.4	9288.23
14/02/2018 18:00	9319.99	9380	9230	9291.01	837.17	7791745.21	9307.3
14/02/2018 19:00	9309.01	9320	9188.1	9264.3	675	6231860.28	9232.38
14/02/2018 20:00	9263.99	9348.74	9211.59	9310.63	255	2370769.25	9297.21
14/02/2018 21:00	9299.03	9329.98	9235.27	9287.82	460.8	4283798.7	9296.35
